ticker,sector,current_price,daily_change,week_start_price,month_start_price,return_pct,volatility,profit_loss,data_source,analyzed_at,combined_score,momentum_score,fundamental_score,sentiment_score
NVDA,Technology,65.85,1.98,178.35,403.86,-6.49,24.72,-56.72,synthetic,2025-11-23T18:30:00,0.8965,0.8327,0.4447,0.5171
AAPL,Technology,359.16,-0.65,347.24,432.59,3.63,48.44,86.74,synthetic,2025-11-23T18:30:00,0.5703,0.4037,0.6048,0.4485
MSFT,Technology,316.63,3.14,182.73,362.04,-8.13,28.97,121.23,synthetic,2025-11-23T18:30:00,0.7696,0.9229,0.332,0.2578
UNH,Healthcare,313.18,3.85,117.01,406.64,-0.04,23.96,149.97,synthetic,2025-11-23T18:30:00,0.7102,0.4029,0.3725,0.4538
JNJ,Healthcare,464.33,1.14,69.36,234.83,-8.95,39.17,116.97,synthetic,2025-11-23T18:30:00,0.8279,0.9269,0.3811,0.5251
PFE,Healthcare,263.04,3.38,129.18,485.07,25.09,44.5,-24.85,synthetic,2025-11-23T18:30:00,0.5384,0.4144,0.3874,0.449
JPM,Finance,311.41,1.63,203.66,210.98,18.33,36.17,121.15,synthetic,2025-11-23T18:30:00,0.87,0.6302,0.4461,0.597
BAC,Finance,391.2,0.15,493.81,447.07,-2.57,46.74,72.35,synthetic,2025-11-23T18:30:00,0.9281,0.8172,0.5449,0.2372
WFC,Finance,442.56,-2.72,432.27,498.01,-3.2,42.49,-20.25,synthetic,2025-11-23T18:30:00,0.7475,0.7363,0.6262,0.2256
AMZN,Consumer,219.84,4.45,104.82,425.21,6.41,43.9,17.32,synthetic,2025-11-23T18:30:00,0.5756,0.5533,0.5134,0.3767
WMT,Consumer,399.87,-2.27,180.41,209.05,27.83,52.1,-20.65,synthetic,2025-11-23T18:30:00,0.8085,0.8485,0.4004,0.3913
HD,Consumer,92.48,-3.89,301.44,241.03,-18.54,17.63,132.91,synthetic,2025-11-23T18:30:00,0.7515,0.5207,0.7161,0.5148
XOM,Energy,389.44,1.45,326.92,456.63,3.74,55.6,71.46,synthetic,2025-11-23T18:30:00,0.6338,0.6237,0.3963,0.2174
CVX,Energy,370.01,-4.7,333.23,326.43,21.25,21.13,42.17,synthetic,2025-11-23T18:30:00,0.6554,0.4384,0.687,0.3452
COP,Energy,391.69,2.46,405.59,192.76,-3.68,35.87,107.37,synthetic,2025-11-23T18:30:00,0.8461,0.6668,0.3053,0.376
BA,Industrial,292.8,2.42,51.08,162.33,-7.56,32.82,-40.12,synthetic,2025-11-23T18:30:00,0.7138,0.7136,0.8169,0.4016
CAT,Industrial,180.85,-4.63,477.19,131.58,-4.3,56.52,-46.27,synthetic,2025-11-23T18:30:00,0.6104,0.5826,0.4807,0.7356
GE,Industrial,414.53,-4.65,260.46,322.23,-19.5,26.42,117.44,synthetic,2025-11-23T18:30:00,0.9015,0.7347,0.7367,0.387
MSFT,Technology,245.61,-0.97,373.5,70.04,25.96,46.72,44.91,synthetic,2025-11-23T18:30:00,0.6602,0.4306,0.7045,0.2613
DE,Industrial,276.4,3.93,152.32,426.94,-16.32,13.89,122.44,synthetic,2025-11-23T18:30:00,0.8478,0.9979,0.8016,0.3052
