ticker,last_price,position_size_dollars,ret_5d,pred_mean,sector,market_cap,volume
AAPL,420.95,8949.98,0.0577,0.0015,Financial,1268224312545.0,33138272
MSFT,468.64,6455.56,-0.0048,0.0478,Communication,1915323116604.0,71228772
GOOGL,403.63,19810.55,-0.046,0.0323,Financial,265469495306.0,92087249
NVDA,342.65,17030.96,0.059,0.0475,Technology,1282284432850.0,24624934
META,276.31,18746.49,-0.0166,-0.0514,Technology,1123782254177.0,86089020
TSLA,343.86,19141.35,-0.0279,0.0313,Financial,1298990599435.0,22334805
AMD,201.9,5562.8,0.0444,0.0191,Communication,1168103025721.0,13462211
AMZN,307.12,11709.72,-0.0444,-0.0211,Communication,887171188338.0,16031522
NFLX,457.8,14574.45,0.0476,0.0795,Consumer,628826888806.0,19848700
CRM,358.87,13711.69,0.0113,0.0154,Financial,2642349420905.0,43777815
