date,ticker,open,high,low,close,volume,returns
2025-02-19,AAPL,318.03,325.73,312.89,319.43,4198105,0.014526
2025-02-20,AAPL,330.42,332.19,326.25,330.68,40289854,0.03461
2025-02-21,AAPL,332.99,342.14,327.58,335.79,14438503,0.015321
2025-02-22,AAPL,335.95,342.42,332.48,332.82,19931437,-0.008856
2025-02-23,AAPL,333.83,337.84,325.88,334.76,17963957,0.005812
2025-02-24,AAPL,337.7,341.24,335.9,339.5,29737918,0.014034
2025-02-25,AAPL,334.98,343.54,330.36,334.15,44681510,-0.015877
2025-02-26,AAPL,338.53,343.18,327.71,336.05,38113808,0.005684
2025-02-27,AAPL,347.1,351.1,336.33,344.07,9025963,0.023577
2025-02-28,AAPL,345.17,348.4,339.33,345.46,12110890,0.004025
2025-03-01,AAPL,346.62,354.53,340.68,349.47,30149536,0.011543
2025-03-02,AAPL,345.87,355.44,341.23,349.07,49782966,-0.00115
2025-03-03,AAPL,351.69,358.68,341.93,351.23,31512741,0.006184
2025-03-04,AAPL,346.35,354.41,346.51,349.84,49197311,-0.003971
2025-03-05,AAPL,351.14,357.43,342.07,351.12,10124675,0.00365
2025-03-06,AAPL,350.87,355.25,347.37,350.42,14739155,-0.002005
2025-03-07,AAPL,358.31,357.21,346.55,355.53,35388439,0.014483
2025-03-08,AAPL,355.99,364.5,358.41,359.3,3944507,0.010541
2025-03-09,AAPL,349.98,357.04,347.52,351.16,10300427,-0.022909
2025-03-10,AAPL,362.13,369.01,350.19,358.85,49648230,0.021679
2025-03-11,AAPL,365.31,367.89,366.98,367.0,13474088,0.022456
2025-03-12,AAPL,376.55,379.02,373.51,374.73,10632818,0.020847
2025-03-13,AAPL,376.87,385.88,373.61,377.83,3223597,0.008238
2025-03-14,AAPL,371.25,381.02,364.97,373.99,26119558,-0.010218
2025-03-15,AAPL,378.34,389.22,372.58,380.33,33223692,0.016791
2025-03-16,AAPL,385.48,396.83,385.14,388.66,47809796,0.021685
2025-03-17,AAPL,384.91,390.03,384.17,386.75,8718312,-0.004938
2025-03-18,AAPL,398.3,398.84,391.98,397.82,49526446,0.028222
2025-03-19,AAPL,398.23,404.93,390.38,397.67,43816604,-0.000376
2025-03-20,AAPL,385.64,397.07,376.78,386.6,16061922,-0.028238
2025-03-21,AAPL,387.85,396.16,381.42,389.82,27247160,0.008307
2025-03-22,AAPL,398.76,397.49,388.49,395.18,18640676,0.013657
2025-03-23,AAPL,393.07,396.23,382.61,390.87,40928483,-0.010977
2025-03-24,AAPL,376.52,381.71,374.23,375.24,12512893,-0.040808
2025-03-25,AAPL,390.32,387.28,377.06,387.04,27239620,0.030969
2025-03-26,AAPL,386.86,390.91,378.03,383.87,5206858,-0.008233
2025-03-27,AAPL,380.83,381.56,374.18,378.01,41462631,-0.015381
2025-03-28,AAPL,376.61,379.03,369.28,377.59,9226975,-0.001105
2025-03-29,AAPL,366.02,372.74,358.69,367.73,40862378,-0.026469
2025-03-30,AAPL,362.41,365.87,359.02,364.04,36162828,-0.010072
2025-03-31,AAPL,359.18,359.81,355.75,356.09,12943050,-0.022094
2025-04-01,AAPL,364.34,367.46,353.76,362.26,42468955,0.017173
2025-04-02,AAPL,371.14,375.87,366.66,368.16,39300955,0.016181
2025-04-03,AAPL,374.7,379.18,368.49,371.09,10616215,0.0079
2025-04-04,AAPL,367.07,369.99,361.26,368.52,32587819,-0.006924
2025-04-05,AAPL,356.76,363.57,354.75,358.95,34723167,-0.026327
2025-04-06,AAPL,365.12,368.38,354.49,362.21,12933754,0.009041
2025-04-07,AAPL,368.63,370.94,358.04,365.22,25454863,0.00827
2025-04-08,AAPL,348.86,354.7,349.97,352.31,17734769,-0.035967
2025-04-09,AAPL,365.71,366.03,355.31,364.89,11512306,0.035079
2025-04-10,AAPL,370.76,372.47,365.94,368.55,35906271,0.00997
2025-04-11,AAPL,376.34,386.35,364.99,375.42,40839802,0.018478
2025-04-12,AAPL,388.62,394.95,378.05,386.59,24134120,0.029322
2025-04-13,AAPL,385.19,387.3,375.38,386.24,27637017,-0.000917
2025-04-14,AAPL,387.72,395.02,378.61,385.08,45153987,-0.002993
2025-04-15,AAPL,396.92,396.05,385.76,394.71,28660248,0.024679
