ticker,sector,current_price,daily_change,week_start_price,month_start_price,return_pct,volatility,profit_loss,data_source,analyzed_at,combined_score,momentum_score,fundamental_score,sentiment_score
NVDA,Technology,440.05,-4.32,349.13,237.32,2.77,11.73,77.72,synthetic,2025-11-23T18:30:00,0.8332,0.7953,0.8687,0.2923
AAPL,Technology,382.14,0.87,197.55,124.99,22.37,10.59,57.87,synthetic,2025-11-23T18:30:00,0.9091,0.4435,0.5118,0.2615
MSFT,Technology,81.1,2.22,314.52,145.86,6.31,43.57,77.85,synthetic,2025-11-23T18:30:00,0.6381,0.9416,0.3931,0.5754
UNH,Healthcare,275.96,1.15,222.51,215.36,-13.25,43.19,17.94,synthetic,2025-11-23T18:30:00,0.55,0.4425,0.7644,0.206
JNJ,Healthcare,409.59,2.14,218.14,176.36,-10.86,42.8,-48.87,synthetic,2025-11-23T18:30:00,0.6315,0.7843,0.3848,0.4694
PFE,Healthcare,200.76,1.89,52.42,236.9,29.99,45.93,110.21,synthetic,2025-11-23T18:30:00,0.7958,0.8161,0.5238,0.4245
JPM,Finance,244.18,-3.52,253.67,103.19,22.47,15.71,-75.95,synthetic,2025-11-23T18:30:00,0.5025,0.6958,0.8252,0.3208
BAC,Finance,130.55,0.73,191.08,167.56,8.75,28.39,143.44,synthetic,2025-11-23T18:30:00,0.9479,0.8309,0.6968,0.4368
WFC,Finance,177.34,-0.08,361.37,337.21,28.05,29.35,28.54,synthetic,2025-11-23T18:30:00,0.6169,0.8764,0.7828,0.5604
AMZN,Consumer,58.75,4.44,119.3,247.92,-16.91,41.16,-37.66,synthetic,2025-11-23T18:30:00,0.5814,0.4112,0.8658,0.7461
WMT,Consumer,282.66,-1.76,214.88,232.0,15.07,24.3,-66.17,synthetic,2025-11-23T18:30:00,0.8038,0.7361,0.8335,0.4382
HD,Consumer,152.03,1.78,60.76,372.88,-4.96,23.22,132.69,synthetic,2025-11-23T18:30:00,0.7227,0.6522,0.88,0.5126
XOM,Energy,261.42,4.88,242.4,56.33,-9.74,12.26,-57.38,synthetic,2025-11-23T18:30:00,0.8291,0.5777,0.6096,0.3813
CVX,Energy,95.53,-2.32,295.34,435.32,12.12,27.85,147.07,synthetic,2025-11-23T18:30:00,0.6953,0.4111,0.7639,0.375
COP,Energy,118.13,-4.41,344.28,445.38,-6.24,40.09,-98.16,synthetic,2025-11-23T18:30:00,0.5459,0.5953,0.8573,0.6754
BA,Industrial,377.8,-1.53,276.85,154.16,3.01,56.09,17.53,synthetic,2025-11-23T18:30:00,0.6371,0.8369,0.8926,0.5429
CAT,Industrial,360.12,0.01,475.84,393.29,-15.61,57.61,118.41,synthetic,2025-11-23T18:30:00,0.6704,0.991,0.3506,0.2838
GE,Industrial,97.72,-3.75,116.29,401.94,-7.47,40.28,39.83,synthetic,2025-11-23T18:30:00,0.6444,0.6989,0.51,0.7545
AMZN,Consumer,244.55,-0.08,111.08,495.45,-4.28,41.67,72.37,synthetic,2025-11-23T18:30:00,0.8908,0.7021,0.8871,0.569
COP,Energy,146.04,4.18,83.81,101.27,1.19,35.88,73.2,synthetic,2025-11-23T18:30:00,0.5309,0.6363,0.8788,0.3574
