ticker,sector,current_price,daily_change,week_start_price,month_start_price,return_pct,volatility,profit_loss,data_source,analyzed_at,combined_score,momentum_score,fundamental_score,sentiment_score,rank_combined_score,rank_momentum_score,rank_fundamental_score,rank_sentiment_score,score,rank
BAC,Finance,130.55,0.73,191.08,167.56,8.75,28.39,143.44,synthetic,2025-11-23T18:30:00,0.9479,0.8309,0.6968,0.4368,1.0,0.7777777777777778,0.4444444444444444,0.5,0.7944444444444445,1
CAT,Industrial,360.12,0.01,475.84,393.29,-15.61,57.61,118.41,synthetic,2025-11-23T18:30:00,0.6704,0.991,0.3506,0.2838,0.5555555555555556,1.0,0.05555555555555555,0.16666666666666666,0.7277777777777779,2
MSFT,Technology,81.1,2.22,314.52,145.86,6.31,43.57,77.85,synthetic,2025-11-23T18:30:00,0.6381,0.9416,0.3931,0.5754,0.4444444444444444,0.9444444444444444,0.16666666666666666,0.8333333333333334,0.7111111111111111,3
PFE,Healthcare,200.76,1.89,52.42,236.9,29.99,45.93,110.21,synthetic,2025-11-23T18:30:00,0.7958,0.8161,0.5238,0.4245,0.7222222222222222,0.7222222222222222,0.3333333333333333,0.4444444444444444,0.6833333333333332,4
GE,Industrial,97.72,-3.75,116.29,401.94,-7.47,40.28,39.83,synthetic,2025-11-23T18:30:00,0.6444,0.6989,0.51,0.7545,0.5,0.5,0.2222222222222222,1.0,0.6055555555555555,5
NVDA,Technology,440.05,-4.32,349.13,237.32,2.77,11.73,77.72,synthetic,2025-11-23T18:30:00,0.8332,0.7953,0.8687,0.2923,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.6000000000000001,6
AAPL,Technology,382.14,0.87,197.55,124.99,22.37,10.59,57.87,synthetic,2025-11-23T18:30:00,0.9091,0.4435,0.5118,0.2615,0.9444444444444444,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.6,7
WMT,Consumer,282.66,-1.76,214.88,232.0,15.07,24.3,-66.17,synthetic,2025-11-23T18:30:00,0.8038,0.7361,0.8335,0.4382,0.7777777777777778,0.5555555555555556,0.7222222222222222,0.5555555555555556,0.5888888888888889,8
XOM,Energy,261.42,4.88,242.4,56.33,-9.74,12.26,-57.38,synthetic,2025-11-23T18:30:00,0.8291,0.5777,0.6096,0.3813,0.8333333333333334,0.2777777777777778,0.3888888888888889,0.3888888888888889,0.5777777777777778,9
JNJ,Healthcare,409.59,2.14,218.14,176.36,-10.86,42.8,-48.87,synthetic,2025-11-23T18:30:00,0.6315,0.7843,0.3848,0.4694,0.3333333333333333,0.6111111111111112,0.1111111111111111,0.6111111111111112,0.5555555555555556,10
WFC,Finance,177.34,-0.08,361.37,337.21,28.05,29.35,28.54,synthetic,2025-11-23T18:30:00,0.6169,0.8764,0.7828,0.5604,0.2777777777777778,0.8888888888888888,0.6111111111111112,0.7777777777777778,0.5333333333333333,11
BA,Industrial,377.8,-1.53,276.85,154.16,3.01,56.09,17.53,synthetic,2025-11-23T18:30:00,0.6371,0.8369,0.8926,0.5429,0.3888888888888889,0.8333333333333334,1.0,0.7222222222222222,0.4777777777777778,12
HD,Consumer,152.03,1.78,60.76,372.88,-4.96,23.22,132.69,synthetic,2025-11-23T18:30:00,0.7227,0.6522,0.88,0.5126,0.6666666666666666,0.3888888888888889,0.9444444444444444,0.6666666666666666,0.4611111111111111,13
CVX,Energy,95.53,-2.32,295.34,435.32,12.12,27.85,147.07,synthetic,2025-11-23T18:30:00,0.6953,0.4111,0.7639,0.375,0.6111111111111112,0.05555555555555555,0.5,0.3333333333333333,0.3944444444444445,14
COP,Energy,118.13,-4.41,344.28,445.38,-6.24,40.09,-98.16,synthetic,2025-11-23T18:30:00,0.5459,0.5953,0.8573,0.6754,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.8888888888888888,0.2777777777777778,15
AMZN,Consumer,58.75,4.44,119.3,247.92,-16.91,41.16,-37.66,synthetic,2025-11-23T18:30:00,0.5814,0.4112,0.8658,0.7461,0.2222222222222222,0.1111111111111111,0.8333333333333334,0.9444444444444444,0.25,16
JPM,Finance,244.18,-3.52,253.67,103.19,22.47,15.71,-75.95,synthetic,2025-11-23T18:30:00,0.5025,0.6958,0.8252,0.3208,0.05555555555555555,0.4444444444444444,0.6666666666666666,0.2777777777777778,0.25,17
UNH,Healthcare,275.96,1.15,222.51,215.36,-13.25,43.19,17.94,synthetic,2025-11-23T18:30:00,0.55,0.4425,0.7644,0.206,0.16666666666666666,0.16666666666666666,0.5555555555555556,0.05555555555555555,0.2111111111111111,18
