ticker,sector,current_price,daily_change,week_start_price,month_start_price,return_pct,volatility,profit_loss,data_source,analyzed_at,combined_score,momentum_score,fundamental_score,sentiment_score,price_source,sentiment_signal
NVDA,Technology,502.15,2.1,490.0,403.86,-6.49,24.72,30.38,synthetic,2025-11-23T18:30:00,0.8965,0.8327,0.4447,0.0,Mock,Neutral
AAPL,Technology,178.5,1.2,175.3,432.59,3.63,48.44,8.0,synthetic,2025-11-23T18:30:00,0.5703,0.4037,0.6048,0.0,Mock,Neutral
MSFT,Technology,385.2,0.8,380.1,362.04,-8.13,28.97,12.75,synthetic,2025-11-23T18:30:00,0.7696,0.9229,0.332,0.0,Mock,Neutral
UNH,Healthcare,524.3,0.4,522.1,406.64,-0.04,23.96,5.5,synthetic,2025-11-23T18:30:00,0.7102,0.4029,0.3725,0.0,Mock,Neutral
JNJ,Healthcare,158.7,0.2,157.9,234.83,-8.95,39.17,2.0,synthetic,2025-11-23T18:30:00,0.8279,0.9269,0.3811,0.0,Mock,Neutral
PFE,Healthcare,25.040000915527344,,,485.07,25.09,44.5,,synthetic,2025-11-23T18:30:00,0.5384,0.4144,0.3874,0.0,yfinance,Neutral
JPM,Finance,178.9,0.6,177.5,210.98,18.33,36.17,3.5,synthetic,2025-11-23T18:30:00,0.87,0.6302,0.4461,0.33,Mock,Neutral
BAC,Finance,38.75,0.8,38.2,447.07,-2.57,46.74,3.44,synthetic,2025-11-23T18:30:00,0.9281,0.8172,0.5449,0.33,Mock,Neutral
WFC,Finance,83.11000061035156,,,498.01,-3.2,42.49,,synthetic,2025-11-23T18:30:00,0.7475,0.7363,0.6262,0.0,yfinance,Neutral
AMZN,Consumer,155.8,0.3,154.5,425.21,6.41,43.9,3.25,synthetic,2025-11-23T18:30:00,0.5756,0.5533,0.5134,0.0,Mock,Neutral
WMT,Consumer,165.4,0.5,164.2,209.05,27.83,52.1,3.0,synthetic,2025-11-23T18:30:00,0.8085,0.8485,0.4004,0.33,Mock,Neutral
HD,Consumer,385.9,0.7,383.2,241.03,-18.54,17.63,6.75,synthetic,2025-11-23T18:30:00,0.7515,0.5207,0.7161,0.0,Mock,Neutral
XOM,Energy,117.08000183105469,,,456.63,3.74,55.6,,synthetic,2025-11-23T18:30:00,0.6338,0.6237,0.3963,0.33,yfinance,Neutral
CVX,Energy,149.97999572753906,,,326.43,21.25,21.13,,synthetic,2025-11-23T18:30:00,0.6554,0.4384,0.687,0.0,yfinance,Neutral
COP,Energy,87.37000274658203,,,192.76,-3.68,35.87,,synthetic,2025-11-23T18:30:00,0.8461,0.6668,0.3053,0.0,yfinance,Neutral
BA,Industrial,179.6999969482422,,,162.33,-7.56,32.82,,synthetic,2025-11-23T18:30:00,0.7138,0.7136,0.8169,0.33,yfinance,Neutral
CAT,Industrial,522.34,0.37,477.19,470.55,-4.3,56.52,110.06,synthetic,2025-11-23T18:30:00,0.6104,0.5826,0.4807,0.33,cache,Neutral
GE,Industrial,287.44,-3.18,304.82,297.89,-19.5,26.42,-10.45,synthetic,2025-11-23T18:30:00,0.9015,0.7347,0.7367,-0.33,yfinance,Neutral
DE,Industrial,487.24,10.91,476.23,462.36,-16.32,13.89,24.88,synthetic,2025-11-23T18:30:00,0.8478,0.9979,0.8016,0.0,yfinance,Neutral
